OTU	Domain	Phylum	Class	Order	Family	Genus	Species
OTU958	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Dubosiella	?
OTU959	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	?
OTU960	Bacteria	Firmicutes	Clostridia	Oscillospirales	Hungateiclostridiaceae	Saccharofermentans	?
OTU961	Bacteria	Firmicutes	Bacilli	RF39	uncultured rumen bacterium	?	?
OTU962	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium	?
OTU963	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	Family XIII AD3011 group	?
OTU964	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	uncultured Acidobacteriales bacterium	?
OTU965	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_9	?
OTU966	Bacteria	Firmicutes	Clostridia	Eubacteriales	Anaerofustaceae	Anaerofustis	Anaerofustis stercorihominis
OTU967	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	?	?	?
OTU968	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	?
OTU969	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU970	Bacteria	Firmicutes	Clostridia	Oscillospirales	UCG-010	?	?
OTU971	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	?	?
OTU972	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus	?
OTU973	Bacteria	Firmicutes	Bacilli	RF39	?	?	?
OTU974	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Peptostreptococcus	Peptostreptococcus stomatis
OTU975	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	?	?
OTU976	Bacteria	Bacteroidota	Bacteroidia	?	?	?	?
OTU977	Bacteria	Firmicutes	Clostridia	?	?	?	?
OTU978	Bacteria	Cyanobacteria	Vampirivibrionia	Gastranaerophilales	?	?	?
OTU979	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	?
OTU980	Bacteria	Bacteroidota	Bacteroidia	?	?	?	?
OTU981	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU982	Bacteria	Firmicutes	Clostridia	Clostridia vadinBB60 group	?	?	?
OTU983	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella nigrescens
OTU984	Bacteria	Cyanobacteria	Vampirivibrionia	Gastranaerophilales	Clostridium sp. CAG:306	?	?
OTU985	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	?	?
OTU986	Bacteria	Firmicutes	Clostridia	Peptococcales	Peptococcaceae	Peptococcus	uncultured Peptococcus sp.
OTU987	Bacteria	Firmicutes	Bacilli	RF39	?	?	?
OTU988	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Haemophilus	?
OTU989	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	?	?
OTU990	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	?	?
OTU991	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus	?
OTU992	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	?
OTU993	Bacteria	Firmicutes	Bacilli	Staphylococcales	Gemellaceae	Gemella	?
OTU994	Bacteria	Firmicutes	Clostridia	Monoglobales	Monoglobaceae	?	?
OTU995	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae UCG-001	?
OTU996	Bacteria	Firmicutes	Bacilli	RF39	?	?	?
OTU997	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	Stenotrophobacter	Acidobacteria bacterium
OTU998	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	?	?
OTU999	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	?
OTU1000	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Terrimonas	uncultured Terrimonas sp.
OTU1001	Bacteria	Proteobacteria	Gammaproteobacteria	KF-JG30-C25	uncultured proteobacterium	?	?
OTU1002	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	UCG-004	?
OTU1003	Bacteria	Firmicutes	Bacilli	RF39	gut metagenome	?	?
OTU1004	Bacteria	Proteobacteria	Alphaproteobacteria	?	?	?	?
OTU1005	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavisolibacter	?
OTU1006	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Parvimonas	Parvimonas micra
OTU1007	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	metagenome
OTU1008	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Sutterellaceae	Parasutterella	?
OTU1009	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU1010	Bacteria	Bacteroidota	?	?	?	?	?
OTU1011	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	?
OTU1012	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU1013	Bacteria	Bacteroidota	Bacteroidia	?	?	?	?
OTU1014	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	?
OTU1015	Bacteria	Firmicutes	Clostridia	Oscillospirales	?	?	?
OTU1016	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	?	?
OTU1017	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Aggregatibacter	Aggregatibacter segnis
OTU1018	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	gut metagenome
OTU1019	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces sp. ph3
OTU1020	Bacteria	Firmicutes	Bacilli	RF39	?	?	?
OTU1021	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	[Anaerorhabdus] furcosa group	?
OTU1022	Bacteria	Proteobacteria	Gammaproteobacteria	Arenicellales	Arenicellaceae	?	?
OTU1023	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Mailhella	?
OTU1024	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Mailhella	?
OTU1025	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter	Lysobacter hankyongensis
OTU1026	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	MM2	Methylobacillus sp.
